Eje,Metrica,Comunes,UM,Dirección,Meta (%23),Real,Importancia,Cumple %23,Cumple?,Corte,Año Esquema,Pilar ASG
Auditoría,00. Objetivos,01. Métricas ASG cumplidas (MNJ) (%),,%,Arriba es bueno (>= Meta),"0,9","0,9",3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,02. Documentación de las 71 métricas ASG (%),,%,Arriba es bueno (>= Meta),"0,9","0,95",2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,03. Cumplimiento del Plan de Auditorías SGI (%),,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,04. Avance de certificación ISO / AsmeB30.9-2025 de Talleres y Estrobos (%),,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,05. Denuncias Cerradas en 3 Semanas por Robos Internos (%),,%,Arriba es malo (>= Meta),"0,9",1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,"06. Cumplimiento en la entrega y calidad del informe MMRDD (Matriz de Monitoreo, Reporte y Diagnóstico de Denuncias) de PEMEX (%)",,%,Arriba es malo (>= Meta),"0,9",1,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,07. Tiempo promedio de cierre de denuncias (días),,días,Arriba es malo (<= Meta),21,15,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,08. Número de deductivas contractuales por incumplimiento de cursos vigentes y experiencia (),,Número,Es = Meta,0,0,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,09. Responsables SSPA con cursos y experiencia vigente (%),,%,Es = Meta,1,1,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,10. Auditorías Ejecutadas vs Planificadas (%),,%,Arriba es bueno (>= Meta),"0,85","0,9",2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,11. Hallazgos Críticos Corregidos dentro del Plazo Establecido (%),,%,Arriba es bueno (>= Meta),"0,9",1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,12. KPIs alineados al Marco de Objetivos de Riesgos Empresariales (%),,%,Arriba es bueno (>= Meta),"0,95","0,96",2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,00. Objetivos,"12. Entrega del informe mensual de actividades, resultados y avances del área de Seguridad Patrimonial (%)",,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,03. 360,01. Integridad,,%,Arriba es bueno (>= Meta),"0,75","0,97",3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,03. 360,02. Efectividad,,%,Arriba es bueno (>= Meta),"0,75","0,87",3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,03. 360,03. Trabajo Colaborativo,,%,Arriba es bueno (>= Meta),"0,75","0,93",3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,03. 360,04. Responsabilidad,,%,Arriba es bueno (>= Meta),"0,75","0,92",3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,03. 360,05. Enfoque al Cliente,,%,Arriba es bueno (>= Meta),"0,75","0,88",3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,01. Matrices de Control,,Número,Arriba es bueno (>= Meta),7,7,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,02. Seguimiento a PAC del SIG ,,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,03. Estrategias a Riesgos (Act. Comerciales - Integridad Corporativa),,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,04. Certificación ISO,,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,05. Aseguramiento de los inventarios (Inventarios Ciclícos),,Número,Arriba es bueno (>= Meta),20,33,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,"06. Monitoreo de Procesos compras, CXP, Ingresos, Inventarios, Intercambios, Pagos a proveedores, ",,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,"07. Revisión de trabajos especiales (DG) RESICOS, Importaciones   Depuraciones de OC y PV ",,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,08. Inventarios de BDs,,Número,Arriba es bueno (>= Meta),13,43,2,0,SI,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,"09. Informes de MMRDD, SSPA y CN a PEMEX",,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,10. Seguimiento Línea Ética y CEC,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,"11. Cumplimiento Factores ASG (802, 601 y 602)",,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,12. Validación SGI-Talleres,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,13. Revisión Integridad Terceros W.Check,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,14. Tiempos y personal destinado a SSPA (Efectividad),,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,15. Requisitos Legales y Ambientales Anexo SSPA,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,16. Análisis y Concentraciones informes (0 multas),,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,17. Cumplimiento Indicadores (SSPA y SGI),x,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Auditoría,02. Indicadores de Negocio,18. Validación del Anexo SSPA y SGI TBX,x,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,02. Indicadores de Negocio,CH 2025-01. Mantener el índice de rotación (Renuncias),,%,Arriba es malo (<= Meta),"0,03","0,027",3,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-02. Ingresar totalidad de folios de trabajo en REPSE SUMIMSA,,%,Arriba es malo (<= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-03. Implementación requisiciones de personal por sistema,,%,Arriba es malo (<= Meta),1,1,1,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,02. Indicadores de Negocio,CH 2025-04. Tasa óptima de ausentismo (injustificado),,%,Arriba es malo (<= Meta),"0,06","0,0435",2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-05. Reclutamiento: Incluir perfilamientos al proceso de reclutamiento,,%,Arriba es malo (<= Meta),1,1,1,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,02. Indicadores de Negocio,CH 2025-06. EBITDA por HC Presupuestado vs EBITDA vs HC Real,x,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,02. Indicadores de Negocio,CH 2025-07. Mantener índice clima laboral favorable,,%,Arriba es bueno (>= Meta),"0,75","0,8",2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-08. Reclasificación de registros patronales y activación de registros por zona,,%,Arriba es malo (<= Meta),"0,15","0,135",3,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,02. Indicadores de Negocio,CH 2025-09. Tiempo de contratación,,días,Arriba es malo (<= Meta),28,14,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-10. Actualización de KPI´s e indicadores de las subdirecciones,,Número,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-11. Laboral: Reducción % de demandas laborales,,%,Arriba es malo (<= Meta),"0,07","0,04",2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-12. Implementación  plan desarrollo institucional (Growth Management),,Número,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
