Eje,Metrica,Indicador,Comunes,UM,Dirección,Meta (#),Real,Importancia,Cumple #,Cumple?,Corte,Año Esquema,Fuente,Subgrupo
Cadena de Suministro,02. Indicadores de Negocio,01. OTIF · Nivel de servicio (%),,%,Arriba es bueno (>= Meta),"0,95","0,36",1,0,No,2025-12-31T08:00:00Z,25,https://app.powerbi.com/Redirect?action=OpenReport&appId=0ef6ece6-9451-4ebe-af19-80bb1da7889c&reportObjectId=14a2099c-e954-41d1-87bb-a44e0ad5d320&ctid=9bb7b321-c671-47d3-897e-cd5e1a950253&reportPage=cdc56100917931a099c6&pbi_source=appShareLink&portalSessionId=5340e8be-4313-484f-bfe7-d3a8759c75fd,
Cadena de Suministro,02. Indicadores de Negocio,02. Confiabilidad de inventario (%),,%,Arriba es bueno (>= Meta),"0,98","0,895",1,0.5,Parcial,2025-12-31T08:00:00Z,25,https://app.powerbi.com/Redirect?action=OpenReport&appId=0ef6ece6-9451-4ebe-af19-80bb1da7889c&reportObjectId=f718c8b8-e07f-4afe-abf9-675511161781&ctid=9bb7b321-c671-47d3-897e-cd5e1a950253&reportPage=84f66aa5c8cc4e7dc833&pbi_source=appShareLink&portalSessionId=5340e8be-4313-484f-bfe7-d3a8759c75fd,
Cadena de Suministro,02. Indicadores de Negocio,03. Rotación de inventario (vueltas/año),,Número,Arriba es bueno (>= Meta),3,"2,29",1,0.5,Parcial,2025-12-31T08:00:00Z,25,https://app.powerbi.com/Redirect?action=OpenReport&appId=0ef6ece6-9451-4ebe-af19-80bb1da7889c&reportObjectId=f718c8b8-e07f-4afe-abf9-675511161781&ctid=9bb7b321-c671-47d3-897e-cd5e1a950253&reportPage=84f66aa5c8cc4e7dc833&pbi_source=appShareLink&portalSessionId=5340e8be-4313-484f-bfe7-d3a8759c75fd,
Cadena de Suministro,02. Indicadores de Negocio,04. Costo de la cadena (Costo de ventas / Ingresos) (%),,%,Arriba es malo (<= Meta),"0,45","0,48",1,0.5,Parcial,2025-12-31T08:00:00Z,25,https://app.powerbi.com/Redirect?action=OpenReport&appId=0ef6ece6-9451-4ebe-af19-80bb1da7889c&reportObjectId=4263319a-5e62-4a0c-9b47-b4a301b464db&ctid=9bb7b321-c671-47d3-897e-cd5e1a950253&reportPage=d6a9b2f994156707e930&pbi_source=appShareLink&portalSessionId=5340e8be-4313-484f-bfe7-d3a8759c75fd,
Cadena de Suministro,02. Indicadores de Negocio,05. Cumplimiento de abasto (entrega de proveedores) (%),,%,Arriba es bueno (>= Meta),"0,95","0,59",1,0,No,2025-12-31T08:00:00Z,25,https://app.powerbi.com/Redirect?action=OpenReport&appId=0ef6ece6-9451-4ebe-af19-80bb1da7889c&reportObjectId=9277e812-b72a-4dcc-9e02-02fe484c2ef8&ctid=9bb7b321-c671-47d3-897e-cd5e1a950253&reportPage=4054e62453e2d81188a4&pbi_source=appShareLink&portalSessionId=5340e8be-4313-484f-bfe7-d3a8759c75fd,
Cadena de Suministro,02. Indicadores de Negocio,06. Catálogos y costos actualizados (%),,%,Arriba es bueno (>= Meta),"0,8","0,6",1,0.5,Parcial,2025-12-31T08:00:00Z,25,,
Cadena de Suministro,02. Indicadores de Negocio,07. Proveedores con contrato o acuerdo comercial (%),,%,Arriba es bueno (>= Meta),"0,5","0,34",1,0,No,2025-12-31T08:00:00Z,25,https://app.powerbi.com/Redirect?action=OpenReport&appId=0ef6ece6-9451-4ebe-af19-80bb1da7889c&reportObjectId=9277e812-b72a-4dcc-9e02-02fe484c2ef8&ctid=9bb7b321-c671-47d3-897e-cd5e1a950253&reportPage=4054e62453e2d81188a4&pbi_source=appShareLink&portalSessionId=5340e8be-4313-484f-bfe7-d3a8759c75fd,
Cadena de Suministro,03. 360,01. Integridad,,%,Arriba es bueno (>= Meta),"0,85","0,86",1,1,Si,2025-12-31T08:00:00Z,25,,
Cadena de Suministro,03. 360,02. Efectividad,,%,Arriba es bueno (>= Meta),"0,85","0,84",1,0.5,Parcial,2025-12-31T08:00:00Z,25,,
Cadena de Suministro,03. 360,03. Trabajo Colaborativo,,%,Arriba es bueno (>= Meta),"0,85","0,84",1,0.5,Parcial,2025-12-31T08:00:00Z,25,,
